,Montecarlo,Predicciones
0,0.1263420764278036,0.027240318932625622
1,0.13438268110461485,0.04717254724917574
2,0.1582778784981014,0.06885383882937209
3,0.2920759623464696,0.12560859418475534
4,0.31564804624612236,0.17311442111894293
5,0.40895347780958147,0.24080702280185198
6,0.5116096239762928,0.3277441527080345
7,0.5348083350839417,0.3971473535463303
8,0.7944361302050674,0.5697198213169532
9,0.8597298022476667,0.6887055194378314
10,0.842328936571494,0.7593891654867062
11,0.9431627702482743,0.8840407433946367
12,0.8960655760695089,0.925841184219917
13,1.0772622823893154,1.0939793781890144
14,0.8744770026397709,1.0265273409727367
15,1.1483209679924418,1.2384600744584795
16,1.3024521792313477,1.39577794743064
17,1.5494101014254222,1.6307383094326606
18,1.8383889377043885,1.9244256660746664
