,Ticker,Valor final,Sector,close
0,AAPL,Positivo,Technology,308.34780340528766
1,AMGN,Negativo,Healthcare,214.65139725228622
2,AXP,Negativo,Financial Services,114.49022938775117
3,BA,Negativo,Industrials,285.4152800961777
4,CAT,Negativo,Industrials,149.4138241629467
5,CRM,Negativo,Technology,179.11922157951702
6,CSCO,Negativo,Technology,46.96981209132863
7,CVX,Negativo,Energy,106.33566415239675
8,DIS,Negativo,Communication Services,134.01343078161224
9,DOW,Negativo,Basic Materials,50.16677271780426
10,GS,Negativo,Financial Services,228.35395728638917
11,HD,Negativo,Consumer Cyclical,232.25262503788068
12,IBM,Negativo,Technology,132.26261478905477
13,INTC,Negativo,Technology,53.20207857455111
14,JNJ,Negativo,Healthcare,143.03276045886457
15,JPM,Negativo,Financial Services,116.46574747711298
16,KO,Negativo,Consumer Defensive,49.95850874163421
17,MCD,Negativo,Consumer Cyclical,197.52904730145093
18,MMM,Negativo,Industrials,178.77682648995417
19,MRK,Positivo,Healthcare,78.41354681417995
20,MSFT,Negativo,Technology,164.60912026112226
21,NKE,Negativo,Consumer Cyclical,99.44508669366964
22,PG,Negativo,Consumer Defensive,115.1136259846431
23,TRV,Negativo,Financial Services,132.06986838334393
24,UNH,Negativo,Healthcare,288.3348392190997
25,V,Negativo,Financial Services,179.17512275318853
